cpu_usage,memory_usage,disk_io,network_errors,throughput,latency,packet_loss,bandwidth,jitter,retransmissions,connection_drops,uptime_pct,failure
31.33954020348172,22.937742629511988,47.88573408354657,7,77.5228114008721,56.221138587684514,0.024447260333609958,97.86965515308383,6.730182160733012,4,1,96.60335627971996,0
5.342472077694596,55.941897946203326,33.13512371514027,4,60.19740906413739,64.63681047596015,0.010509480538711742,140.62656627544698,1.6994839337572276,4,1,96.99649841802656,0
36.96725391205404,43.04518667941596,9.796997889392443,5,107.25635859735203,72.16578536297818,0.04823522539787426,173.57634487251454,6.509615859776078,1,1,97.31871290963419,0
48.103704764252484,32.518925558106154,49.55993768498136,0,73.70844518850325,43.916627253283394,0.03133909810783464,181.0679568648229,3.9899169456707275,2,1,96.78752892322964,0
32.52659567930284,30.49340691374863,27.8192057692461,2,138.30131686880975,13.945427581926614,0.035382624718006704,142.8804227730394,6.081188225948794,4,0,98.97684983581047,0
47.83652409343786,65.42040769721166,56.399344642971,2,190.7953356858511,35.3197145417326,0.020468782018405324,179.12107009803856,3.851914678999855,0,1,99.10444064114343,0
30.23920362715125,37.28432566590425,50.03017150844606,0,51.28070728320906,77.97295655458065,0.021110118343095403,44.66363523201713,5.046834691112004,2,0,98.62669918608285,0
57.35347227233201,22.0939011868268,36.746783508124096,9,185.47180012267862,38.597286428221416,0.03617988534852295,105.33707129639456,9.79975038013627,3,0,98.08584207458914,0
14.64173651609487,63.40053540290224,12.355169715227667,8,123.73280271316018,27.258657317436107,0.04819819213967556,69.1025410254556,9.675558347419209,1,1,97.0918493968542,0
53.52281113296084,25.436897912548712,10.895618963393904,5,87.36031048709592,33.38240539844587,0.0421337875117736,51.064288889697345,1.4508947126945793,3,0,95.76185698099908,0
16.104623541165928,56.480794372094145,37.45065742928186,6,63.013319093505785,46.659000826661554,0.046224210443819636,58.535469273052016,1.9283555316080825,4,0,99.77207431352113,0
59.590807030168016,56.38931311520196,33.54684296310934,1,133.67448031944429,77.91386936218767,0.02526805999246616,73.59463626032104,2.098254966308014,2,1,98.64280200719892,0
36.22374660610958,57.62475561134135,32.464509031766234,4,180.79250897316822,22.04948425287244,0.0326066690080273,130.08334797593938,9.02719929521151,0,0,95.43489837327812,0
12.379470771157571,11.638631254174406,56.94125167668257,6,56.1671068817478,45.517682490858604,0.04719992448878568,73.26647016170526,7.863039971249307,4,1,98.66110145671911,0
51.667979591477284,14.71706849160263,6.88941834659467,3,82.3635522520885,66.74486397123749,0.02413323755535876,173.70374379279247,2.8274119270296705,1,1,95.4233216492988,0
72.08465294304504,82.11755553984574,91.41121877672565,86,1.667216849018749,420.3600614961006,0.7553322461719882,10.257346381642668,60.08444437426207,96,22,79.6343738808186,1
19.993585389878046,58.27569915249724,57.62972312812269,6,184.7291240997729,51.7890567266793,0.03381628426317237,177.2996222969542,7.2439299078512445,1,1,97.88229456889981,0
14.009299361059902,51.40994608158504,37.505192262494084,0,144.17284272221957,9.495944126462026,0.0029244947416810275,63.66171297658093,1.1785887161574005,4,1,98.42813728907313,0
11.949044687676704,15.511352170234273,33.57174620129535,4,156.863798764014,8.779125460955054,0.000920011316065017,133.77496592279437,8.941322550369353,1,1,99.75317486758433,0
48.613670334765125,66.3918544351832,14.626444317964383,8,170.7957501958332,35.144921787423186,0.04595936445941491,115.08920552742521,6.933573013251451,1,1,96.35064367024658,0
30.284618962560007,50.165309812811856,41.78459560762099,8,147.19493165155995,56.315735140873905,0.014166355178822932,73.28644644905962,2.580549100205436,4,1,96.48786696179499,0
6.1175449172572085,66.71780823082418,9.68941031219362,7,174.85374561020947,30.766923877646615,0.045447572938348946,111.94049332738979,8.318950630123373,0,1,98.1499701876342,0
22.607574495166926,42.78601104984638,12.981131581905155,1,163.48574476699423,51.02817344604976,0.02710641888408707,88.31341127956749,6.70539898636382,4,1,96.20918768117946,0
49.04217543686585,28.532102119790842,54.469443963585526,4,106.05450492052812,53.91376174487139,0.04287876733547952,106.4220667738749,3.1485278434457964,2,1,95.82896905498875,0
70.8351018323044,78.04721049692067,97.8616082145376,69,16.19424077508063,281.6647690332918,0.7647849547695601,19.488561111743763,46.411458443832686,84,10,37.353669447137825,1
45.30039980020269,64.81475763801257,44.004496980777866,8,145.1897236387489,26.69609161557735,0.01218701196251555,58.51730425976166,4.368280259688689,1,1,95.01944047513035,0
92.35290952130967,79.58868516563935,97.64978440085395,71,2.3468486454660638,443.7320706345693,0.47283019348166605,28.054644812162035,12.215616286459468,49,49,14.932409989445185,1
