flow_duration,fwd_packets,bwd_packets,fwd_packet_len_mean,bwd_packet_len_mean,flow_bytes_per_sec,flow_packets_per_sec,latency,packet_loss,bandwidth,jitter,fin_flag_count,syn_flag_count,rst_flag_count,failure
12916,264,156,768.1712839129126,531.1944490210228,248268.84518351615,264.6861745203045,23.556556162124863,0.04595154556393404,160.04100379476336,4.009406935212683,1,2,0,0
58206,240,494,655.1467894090898,307.1001979925301,656643.942768851,79.18835823920914,1.9674834364968696,0.04269340071827204,110.75050530433026,3.329146410260682,1,3,0,0
27790,438,291,1025.7945244184632,1401.7345451086499,629848.0328323706,228.83926830440996,5.338827912188875,0.00039529044169939187,111.5616834924761,1.6027918546750342,4,4,0,0
43410,885,296,1244.6194302999465,404.8317773508908,489892.9815196387,949.657799936873,46.863657097814,0.030724548865006432,189.4415234303909,1.899394346642741,2,4,0,0
62432,44,390,52.28325770367937,921.576047769872,700094.7863078754,413.51097559888655,7.478308967840311,0.0008685730987867458,129.46276570015135,1.37234998019576,2,3,1,0
22921,860,401,1152.7092616805232,1291.2682704076187,400210.7658773911,185.60171953778112,6.138619930901207,0.028990161134970355,191.94717268464774,4.81185627014639,4,2,0,0
16106,977,438,1483.0031202154273,511.05810592793796,819805.2810821744,950.9513821051988,4.449931274391641,0.03189220838705428,154.26641536524903,0.4691055537632821,0,4,1,0
27124,253,352,792.2213831199952,337.6548181521733,878750.2424857602,150.12798618461974,16.924200360863622,0.009994763116997596,125.9343382172438,0.4035558935123562,3,0,1,0
92562,34,400,859.4222976528034,1228.1852136137315,199091.04067178996,900.2879212385175,12.73293284097204,0.008880398675575852,180.7881926889556,1.4602699587344574,3,1,1,0
21112,351,461,485.5886417876893,55.7602430303735,674134.6057055393,838.1493226859768,44.88571944028911,0.04268080793459203,119.30558707047854,4.95855708335068,2,2,1,0
63049,506,268,953.2944552663819,298.4518263767269,47822.672150324914,268.31065263088874,22.107575270540718,0.033585108354267736,169.95933887768797,3.8205117302876306,2,2,1,0
75252,766,293,1402.9468629443963,436.35827741045523,813881.5727432639,750.8045433623467,10.955865505888024,0.03166111470388259,58.75228603199402,2.5518502005251857,3,2,1,0
50948,216,298,923.3540844456344,349.7824483001366,543826.1690743163,766.9302549824871,4.4082524939530785,0.01262938734569672,75.34092206802175,1.5170060503393867,0,3,1,0
30074,60,408,1187.9298934011583,1165.8525341036043,855094.3951583672,21.908138487407193,11.586750679259033,0.04135279556509798,185.14634469977264,1.1051503307308068,2,1,1,0
25685,951,125,1486.3279648820105,1009.6157449639926,848495.6198345867,352.2181763997644,130.50774112546605,0.23393532414200033,10.29201623946778,22.193244436410602,1,30,6,1
90435,400,10,1066.6139182687336,1027.7302303906176,581066.4486027496,150.1472260170949,94.08066750280423,0.29369321308884255,12.540681294832446,28.99504916415834,4,65,13,1
64594,868,370,444.95312438820156,226.96450363812966,14021.285223146397,663.3065797349554,11.004853968508488,0.015266843729635715,67.1136697626726,1.0380270777041005,0,4,1,0
3154,503,79,470.1298127443785,1045.6472934321544,401277.7327872927,103.51950002479327,63.44567303520748,0.35841490516702934,1.9387824729922305,2.7545296881471883,4,31,4,1
